prefecture,predicted_population_2024,confidence_interval_lower,confidence_interval_upper
Hokkaido,5043050.878607647,5025590.873106082,5060510.884109211
Aomori,1164261.0403289488,1156518.3473708697,1172003.7332870278
Iwate,1145517.5080575987,1141104.5828058298,1149930.4333093676
Miyagi,2249966.953788372,2240562.6747028953,2259371.232873849
Akita,897858.4152178707,893848.426432384,901868.4040033575
Yamagata,1010725.9775630871,1007733.5419207984,1013718.4132053759
Fukushima,1743423.7774297856,1733218.6859515277,1753628.8689080435
Ibaraki,2809040.2836738722,2801535.063836767,2816545.5035109776
Tochigi,1884136.6356554262,1880219.0104540202,1888054.2608568321
Gumma,1889549.5919690635,1884887.876999915,1894211.306938212
Saitama,7322856.388418953,7292812.188023552,7352900.588814354
Chiba,6245587.493687356,6220918.5438278215,6270256.44354689
Tokyo,14134888.275318602,14071002.463304356,14198774.087332848
Kanagawa,9223762.851886611,9199677.507108897,9247848.196664326
Niigata,2098894.197859321,2093997.5902561431,2103790.805462498
Toyama,997295.9265115138,994432.2414369095,1000159.611586118
Ishikawa,1100330.8939830952,1097214.2441844614,1103447.543781729
Fukui,735272.2760254786,732956.7493699657,737587.8026809915
Yamanashi,791029.9387318409,788315.8357844278,793744.041679254
Nagano,1988014.637081384,1981622.1294103053,1994407.1447524626
Gifu,1914972.9889126394,1910051.0594624195,1919894.9183628594
Shizuoka,3526822.25139172,3519351.948953913,3534292.553829527
Aichi,7457563.943303454,7437733.602072895,7477394.284534013
Mie,1711511.313562533,1707249.611272447,1715773.0158526187
Shiga,1404356.755212563,1400281.8133365677,1408431.6970885585
Kyoto,2520150.923940492,2511889.6678909617,2528412.179990022
Osaka,8740862.153112272,8718094.395624995,8763629.910599548
Hyogo,5339390.822699705,5308814.487778273,5369967.157621137
Nara,1285356.1783896065,1281279.8689765197,1289432.4878026934
Wakayama,880648.3155034609,877405.0732236129,883891.557783309
Tottori,530671.2051019418,528724.1488790056,532618.2613248781
Shimane,641988.0017073192,639661.6637852984,644314.33962934
Okayama,1831481.0516116838,1827368.024905356,1835594.0783180115
Hiroshima,2715287.0866956185,2709406.692183744,2721167.4812074928
Yamaguchi,1282502.5526850887,1278399.039816085,1286606.0655540924
Tokushima,686194.219575098,683996.8323636126,688391.6067865834
Kagawa,917509.2550340829,914695.9203477218,920322.589720444
Ehime,1275514.5017545684,1271549.6753359244,1279479.3281732125
Kochi,656139.0405197379,653380.2601101047,658897.820929371
Fukuoka,5090063.437520961,5076446.777597784,5103680.0974441385
Saga,788865.7508034004,786887.0237810194,790844.4778257814
Nagasaki,1250619.49842955,1246918.7730525143,1254320.223806586
Kumamoto,1699266.6193379094,1694728.7497486267,1703804.488927192
Oita,1085488.819931536,1082225.6255433164,1088752.0143197556
Miyazaki,1031802.3773209675,1026599.1132907841,1037005.6413511509
Kagoshima,1534504.204719285,1529835.9592260744,1539172.4502124956
Okinawa,1467748.1980813711,1463561.3096491399,1471935.0865136024
