region,region_code,year,population,prefecture_code,prefecture
Hokkaido,1000,1975,5338206,JP01,Hokkaido
Hokkaido,1000,1976,5395000,JP01,Hokkaido
Hokkaido,1000,1977,5443000,JP01,Hokkaido
Hokkaido,1000,1978,5490000,JP01,Hokkaido
Hokkaido,1000,1979,5535000,JP01,Hokkaido
Hokkaido,1000,1980,5575989,JP01,Hokkaido
Hokkaido,1000,1981,5605000,JP01,Hokkaido
Hokkaido,1000,1982,5630000,JP01,Hokkaido
Hokkaido,1000,1983,5656000,JP01,Hokkaido
Hokkaido,1000,1984,5672000,JP01,Hokkaido
Hokkaido,1000,1985,5679439,JP01,Hokkaido
Hokkaido,1000,1986,5673000,JP01,Hokkaido
Hokkaido,1000,1987,5660000,JP01,Hokkaido
Hokkaido,1000,1988,5656000,JP01,Hokkaido
Hokkaido,1000,1989,5649000,JP01,Hokkaido
Hokkaido,1000,1990,5643647,JP01,Hokkaido
Hokkaido,1000,1991,5650000,JP01,Hokkaido
Hokkaido,1000,1992,5661000,JP01,Hokkaido
Hokkaido,1000,1993,5669000,JP01,Hokkaido
Hokkaido,1000,1994,5681000,JP01,Hokkaido
Hokkaido,1000,1995,5692321,JP01,Hokkaido
Hokkaido,1000,1996,5697000,JP01,Hokkaido
Hokkaido,1000,1997,5699000,JP01,Hokkaido
Hokkaido,1000,1998,5695000,JP01,Hokkaido
Hokkaido,1000,1999,5689000,JP01,Hokkaido
Hokkaido,1000,2000,5683062,JP01,Hokkaido
Hokkaido,1000,2001,5680000,JP01,Hokkaido
Hokkaido,1000,2002,5672000,JP01,Hokkaido
Hokkaido,1000,2003,5663000,JP01,Hokkaido
Hokkaido,1000,2004,5650000,JP01,Hokkaido
Hokkaido,1000,2005,5627737,JP01,Hokkaido
Hokkaido,1000,2006,5605000,JP01,Hokkaido
Hokkaido,1000,2007,5579000,JP01,Hokkaido
Hokkaido,1000,2008,5548000,JP01,Hokkaido
Hokkaido,1000,2009,5524000,JP01,Hokkaido
Hokkaido,1000,2010,5506419,JP01,Hokkaido
Hokkaido,1000,2011,5488000,JP01,Hokkaido
Hokkaido,1000,2012,5465000,JP01,Hokkaido
Hokkaido,1000,2013,5438000,JP01,Hokkaido
Hokkaido,1000,2014,5410000,JP01,Hokkaido
Hokkaido,1000,2015,5381733,JP01,Hokkaido
Hokkaido,1000,2016,5355000,JP01,Hokkaido
Hokkaido,1000,2017,5325000,JP01,Hokkaido
Hokkaido,1000,2018,5293000,JP01,Hokkaido
Hokkaido,1000,2019,5259000,JP01,Hokkaido
Hokkaido,1000,2020,5224614,JP01,Hokkaido
Hokkaido,1000,2021,5183000,JP01,Hokkaido
Hokkaido,1000,2022,5140000,JP01,Hokkaido
Hokkaido,1000,2023,5092000,JP01,Hokkaido
Aomori-ken,2000,1975,1468646,JP02,Aomori
Aomori-ken,2000,1976,1484000,JP02,Aomori
Aomori-ken,2000,1977,1496000,JP02,Aomori
Aomori-ken,2000,1978,1507000,JP02,Aomori
Aomori-ken,2000,1979,1516000,JP02,Aomori
Aomori-ken,2000,1980,1523907,JP02,Aomori
Aomori-ken,2000,1981,1526000,JP02,Aomori
Aomori-ken,2000,1982,1527000,JP02,Aomori
Aomori-ken,2000,1983,1528000,JP02,Aomori
Aomori-ken,2000,1984,1527000,JP02,Aomori
Aomori-ken,2000,1985,1524448,JP02,Aomori
Aomori-ken,2000,1986,1517000,JP02,Aomori
Aomori-ken,2000,1987,1511000,JP02,Aomori
Aomori-ken,2000,1988,1502000,JP02,Aomori
Aomori-ken,2000,1989,1492000,JP02,Aomori
Aomori-ken,2000,1990,1482873,JP02,Aomori
Aomori-ken,2000,1991,1479000,JP02,Aomori
Aomori-ken,2000,1992,1476000,JP02,Aomori
Aomori-ken,2000,1993,1476000,JP02,Aomori
Aomori-ken,2000,1994,1480000,JP02,Aomori
Aomori-ken,2000,1995,1481663,JP02,Aomori
Aomori-ken,2000,1996,1483000,JP02,Aomori
Aomori-ken,2000,1997,1481000,JP02,Aomori
Aomori-ken,2000,1998,1479000,JP02,Aomori
Aomori-ken,2000,1999,1477000,JP02,Aomori
Aomori-ken,2000,2000,1475728,JP02,Aomori
Aomori-ken,2000,2001,1473000,JP02,Aomori
Aomori-ken,2000,2002,1467000,JP02,Aomori
Aomori-ken,2000,2003,1459000,JP02,Aomori
Aomori-ken,2000,2004,1448000,JP02,Aomori
Aomori-ken,2000,2005,1436657,JP02,Aomori
Aomori-ken,2000,2006,1424000,JP02,Aomori
Aomori-ken,2000,2007,1409000,JP02,Aomori
